PRODUCTO,AÑO,MES,TIPOCOMPRA,HOSPITAL,TGL,CANTIDADCOMPRA
APOSITO DE HIDROCOLOIDE-7,2022,2,Concurso,0,ALMACENABLE,60
APOSITO DE HIDROCOLOIDE-7,2022,2,Concurso,10,ALMACENABLE,75
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2022,2,Concurso,0,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2022,2,Concurso,10,ALMACENABLE,180
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2022,2,Concurso,0,ALMACENABLE,200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2022,2,Concurso,13,ALMACENABLE,800
APOSITO MALLADO C/ PARAFINA-38,2022,2,Concurso,13,ALMACENABLE,500
APOSITO DE HIDROCOLOIDE-9,2022,2,Concurso,4,ALMACENABLE,120
APOSITO DE HIDROCOLOIDE-6,2022,2,Concurso,4,ALMACENABLE,50
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2022,2,Concurso,0,ALMACENABLE,200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2022,2,Concurso,13,ALMACENABLE,1000
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2022,2,Concurso,10,ALMACENABLE,1000
APOSITO C/ CARBON Y PLATA-4,2022,2,Concurso,10,ALMACENABLE,110
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,2,Concurso,18,ALMACENABLE,150
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2016,3,Compra menor,10,ALMACENABLE,150
APÓSITO ABSORBENTE C/ ADHESIVO-22,2016,3,Compra menor,6,ALMACENABLE,1280
APÓSITO ABSORBENTE C/ ADHESIVO-23,2016,3,Compra menor,4,ALMACENABLE,300
APOSITO C/ CARBON Y PLATA-6,2016,3,Compra menor,13,ALMACENABLE,1200
APOSITO DE HIDROCOLOIDE-9,2016,3,Compra menor,10,ALMACENABLE,36
APOSITO MALLADO C/ PARAFINA-39,2016,3,Compra menor,6,ALMACENABLE,210
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2016,3,Compra menor,6,ALMACENABLE,30
APOSITO C/ CARBON Y PLATA-4,2016,3,Compra menor,10,ALMACENABLE,100
APÓSITO ABSORBENTE C/ ADHESIVO-22,2017,3,Compra menor,13,ALMACENABLE,640
APOSITO C/ CARBON Y PLATA-6,2017,3,Concurso,13,ALMACENABLE,300
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2017,3,Compra menor,13,ALMACENABLE,700
APOSITO DE HIDROCOLOIDE-3,2018,3,Concurso,10,ALMACENABLE,300
APOSITO DE HIDROCOLOIDE-7,2018,3,Concurso,10,ALMACENABLE,65
APÓSITO TRANSPARENTE ADHESIVO-20,2018,3,Compra menor,18,ALMACENABLE,800
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2018,3,Compra menor,10,ALMACENABLE,100
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2019,3,Concurso,10,ALMACENABLE,850
APOSITO DE HIDROFIBRA  / CINTA-18,2019,3,Compra menor,18,TRANSITO,50
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2019,3,Compra menor,10,ALMACENABLE,210
APOSITO MALLADO C/ PARAFINA-39,2019,3,Concurso,10,ALMACENABLE,200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,3,Compra menor,10,ALMACENABLE,140
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2021,3,Compra menor,18,TRANSITO,5
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2021,3,Compra menor,18,ALMACENABLE,60
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2021,3,Concurso,18,ALMACENABLE,195
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2021,3,Compra menor,11,TRANSITO,5
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2021,3,Compra menor,11,TRANSITO,5
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,2021,3,Compra menor,11,TRANSITO,5
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2021,3,Concurso,10,ALMACENABLE,140
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2021,3,Concurso,10,ALMACENABLE,80
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2021,3,Compra menor,12,TRANSITO,12
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2021,3,Concurso,0,ALMACENABLE,100
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2021,3,Concurso,4,ALMACENABLE,50
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2022,3,Compra menor,10,ALMACENABLE,110
APÓSITO ABSORBENTE C/ ADHESIVO-22,2022,3,Concurso,0,ALMACENABLE,1200
APÓSITO ABSORBENTE C/ ADHESIVO-23,2022,3,Concurso,0,ALMACENABLE,300
APOSITO DE HIDROCOLOIDE-9,2022,3,Concurso,0,ALMACENABLE,1008
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2022,3,Compra menor,18,ALMACENABLE,4000
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2022,3,Concurso,10,ALMACENABLE,510
APOSITO ABSORBENTE S/ ADHESIVO-25,2022,3,Compra menor,10,ALMACENABLE,200
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2022,3,Concurso,18,ALMACENABLE,70
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2022,3,Concurso,0,ALMACENABLE,150
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,3,Concurso,0,ALMACENABLE,100
APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,2016,4,Concurso,10,TRANSITO,350
APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,2016,4,Concurso,11,TRANSITO,700
APOSITO DE ESPUMA POLIURETANO-8,2016,4,Compra menor,6,ALMACENABLE,40
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2016,4,Compra menor,10,ALMACENABLE,2000
APOSITO MALLADO C/ PARAFINA-39,2016,4,Compra menor,6,ALMACENABLE,160
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2016,4,Compra menor,0,ALMACENABLE,60
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2019,4,Concurso,0,ALMACENABLE,50
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2019,4,Concurso,10,ALMACENABLE,550
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2019,4,Concurso,18,ALMACENABLE,175
HIDROGEL-37,2019,4,Compra menor,0,ALMACENABLE,100
HIDROGEL-37,2019,4,Compra menor,18,ALMACENABLE,70
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2019,4,Concurso,13,ALMACENABLE,500
APOSITO C/ CARBON Y PLATA-6,2019,4,Compra menor,18,ALMACENABLE,600
APOSITO MALLADO C/ PARAFINA-38,2019,4,Concurso,10,ALMACENABLE,150
APOSITO MALLADO C/ PARAFINA-39,2019,4,Concurso,10,ALMACENABLE,200
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2020,4,Compra menor,18,ALMACENABLE,70
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2020,4,Compra menor,2,TRANSITO,5
APÓSITO TRANSPARENTE ADHESIVO-20,2020,4,Compra menor,4,ALMACENABLE,600
APOSITO C/ CARBON Y PLATA-6,2020,4,Compra menor,10,ALMACENABLE,300
APOSITO DE HIDROCOLOIDE-9,2020,4,Compra menor,10,ALMACENABLE,66
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2021,4,Compra menor,18,ALMACENABLE,90
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2021,4,Concurso,0,ALMACENABLE,50
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2021,4,Concurso,18,ALMACENABLE,175
APÓSITO TRANSPARENTE ADHESIVO-20,2021,4,Concurso,18,ALMACENABLE,600
HIDROGEL-37,2021,4,Concurso,0,ALMACENABLE,120
APOSITO MALLADO C/ PARAFINA-38,2021,4,Concurso,18,ALMACENABLE,250
APOSITO DE HIDROCOLOIDE-9,2021,4,Concurso,18,ALMACENABLE,228
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2021,4,Compra menor,10,ALMACENABLE,7000
APOSITO DE FIBRAS DE POLIACRILATO-3,2021,4,Concurso,18,ALMACENABLE,80
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2021,4,Concurso,18,ALMACENABLE,70
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2021,4,Concurso,18,ALMACENABLE,60
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2022,4,Concurso,7,ALMACENABLE,200
HIDROGEL-37,2022,4,Concurso,7,ALMACENABLE,200
HIDROGEL-37,2022,4,Concurso,13,ALMACENABLE,200
APOSITO MALLADO C/ SILICONA-0,2022,4,Concurso,7,ALMACENABLE,700
APOSITO DE HIDROCOLOIDE-9,2022,4,Concurso,7,ALMACENABLE,60
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2022,4,Concurso,7,ALMACENABLE,180
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2022,4,Concurso,10,ALMACENABLE,20
APOSITO DE HIDROCOLOIDE-3,2015,5,Compra menor,10,ALMACENABLE,360
APOSITO MALLADO C/ PARAFINA-38,2015,5,Compra menor,6,ALMACENABLE,330
APOSITO MALLADO C/ PARAFINA-39,2015,5,Compra menor,6,ALMACENABLE,270
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2017,5,Compra menor,4,ALMACENABLE,30
HIDROGEL-37,2017,5,Compra menor,13,ALMACENABLE,400
APOSITO DE HIDROFIBRA  / CINTA-18,2018,5,Compra menor,12,TRANSITO,20
APÓSITO ABSORBENTE C/ ADHESIVO-22,2018,5,Concurso,4,ALMACENABLE,640
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2018,5,Compra menor,18,ALMACENABLE,4000
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2019,5,Compra menor,18,TRANSITO,2
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2019,5,Compra menor,17,TRANSITO,4
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2019,5,Compra menor,10,ALMACENABLE,140
APOSITO DE HIDROFIBRA  / CINTA-18,2019,5,Compra menor,18,TRANSITO,50
APOSITO DE HIDROFIBRA  / CINTA-18,2019,5,Compra menor,18,TRANSITO,25
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2019,5,Concurso,10,ALMACENABLE,235
APOSITO C/ CARBON Y PLATA-6,2019,5,Compra menor,10,ALMACENABLE,300
APOSITO DE ESPUMA POLIURETANO-8,2019,5,Concurso,10,ALMACENABLE,420
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2019,5,Compra menor,10,ALMACENABLE,50
APOSITO DE FIBRAS DE POLIACRILATO-3,2019,5,Concurso,10,ALMACENABLE,310
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,5,Compra menor,13,ALMACENABLE,1000
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,5,Compra menor,10,ALMACENABLE,130
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2019,5,Compra menor,12,TRANSITO,30
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2020,5,Compra menor,10,ALMACENABLE,700
APOSITO DE HIDROFIBRA  / CINTA-18,2020,5,Compra menor,18,TRANSITO,50
APOSITO DE HIDROCOLOIDE C/ PLATA-2,2020,5,Compra menor,12,TRANSITO,48
APOSITO DE HIDROCOLOIDE-6,2020,5,Concurso,10,ALMACENABLE,600
APOSITO DE HIDROFIBRA  / CINTA-18,2015,6,Compra menor,10,TRANSITO,10
HIDROGEL-37,2015,6,Compra menor,0,ALMACENABLE,100
APÓSITO TRANSPARENTE ADHESIVO-20,2015,6,Compra menor,6,ALMACENABLE,400
APÓSITO ABSORBENTE C/ ADHESIVO-23,2015,6,Compra menor,0,ALMACENABLE,600
APOSITO MALLADO C/ SILICONA-0,2015,6,Compra menor,18,ALMACENABLE,420
APOSITO MALLADO C/ PARAFINA-38,2015,6,Compra menor,6,ALMACENABLE,330
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2015,6,Compra menor,10,ALMACENABLE,2000
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2015,6,Compra menor,10,ALMACENABLE,150
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2015,6,Compra menor,0,ALMACENABLE,200
APOSITO C/ CARBON Y PLATA-4,2015,6,Compra menor,18,ALMACENABLE,200
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2016,6,Compra menor,4,ALMACENABLE,20
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2016,6,Compra menor,10,ALMACENABLE,30
HIDROGEL-37,2016,6,Compra menor,13,ALMACENABLE,300
HIDROGEL-37,2016,6,Compra menor,6,ALMACENABLE,35
APOSITO C/ CARBON Y PLATA-6,2016,6,Compra menor,18,ALMACENABLE,300
APOSITO C/ CARBON Y PLATA-6,2016,6,Compra menor,6,ALMACENABLE,300
APOSITO DE ESPUMA POLIURETANO-8,2016,6,Compra menor,10,ALMACENABLE,160
APOSITO MALLADO C/ PARAFINA-38,2016,6,Compra menor,13,ALMACENABLE,900
APOSITO C/ CARBON Y PLATA-4,2016,6,Compra menor,18,ALMACENABLE,200
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2017,6,Compra menor,0,ALMACENABLE,60
APÓSITO ABSORBENTE C/ ADHESIVO-22,2017,6,Compra menor,18,ALMACENABLE,3840
APOSITO MALLADO C/ SILICONA-0,2017,6,Concurso,10,ALMACENABLE,420
APOSITO DE HIDROCOLOIDE-9,2017,6,Compra menor,0,ALMACENABLE,882
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2017,6,Compra menor,13,ALMACENABLE,600
APÓSITO TRANSPARENTE ADHESIVO-24,2018,6,Compra menor,10,ALMACENABLE,2000
APOSITO DE HIDROCOLOIDE-6,2018,6,Concurso,10,ALMACENABLE,600
APOSITO DE FIBRAS DE POLIACRILATO-3,2018,6,Concurso,18,ALMACENABLE,70
TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,2020,6,Compra menor,10,ALMACENABLE,350
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2020,6,Compra menor,0,ALMACENABLE,50
APÓSITO TRANSPARENTE ADHESIVO-24,2020,6,Compra menor,0,ALMACENABLE,1600
APÓSITO ABSORBENTE C/ ADHESIVO-22,2020,6,Concurso,10,ALMACENABLE,640
APOSITO C/ CARBON Y PLATA-6,2020,6,Compra menor,0,ALMACENABLE,300
APOSITO MALLADO C/ SILICONA-0,2020,6,Compra menor,10,ALMACENABLE,490
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2020,6,Compra menor,10,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2020,6,Compra menor,10,ALMACENABLE,140
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2020,6,Compra menor,12,TRANSITO,12
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2020,6,Compra menor,10,TRANSITO,20
APOSITO DE HIDROFIBRA  / CINTA-18,2021,6,Compra menor,10,TRANSITO,15
APOSITO DE FIBRAS DE POLIACRILATO-3,2021,6,Concurso,18,ALMACENABLE,70
APOSITO MALLADO C/ PARAFINA-39,2021,6,Concurso,10,ALMACENABLE,350
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2021,6,Concurso,10,ALMACENABLE,150
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2022,6,Compra menor,15,TRANSITO,7
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2022,6,Compra menor,5,TRANSITO,10
APÓSITO TRANSPARENTE ADHESIVO-20,2022,6,Concurso,10,ALMACENABLE,850
APÓSITO ABSORBENTE C/ ADHESIVO-23,2022,6,Concurso,10,ALMACENABLE,300
APOSITO MALLADO C/ SILICONA-0,2022,6,Concurso,7,ALMACENABLE,700
APOSITO DE HIDROCOLOIDE-9,2022,6,Concurso,18,ALMACENABLE,222
APÓSITO TRANSPARENTE ADHESIVO-24,2015,7,Compra menor,0,ALMACENABLE,1200
APOSITO MALLADO C/ PARAFINA-38,2015,7,Compra menor,0,ALMACENABLE,330
APOSITO DE HIDROCOLOIDE-9,2015,7,Compra menor,0,ALMACENABLE,1002
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2015,7,Compra menor,0,ALMACENABLE,200
APOSITO ABSORBENTE S/ ADHESIVO-25,2015,7,Compra menor,10,ALMACENABLE,400
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2016,7,Compra menor,14,TRANSITO,4
APOSITO DE HIDROCOLOIDE-3,2016,7,Compra menor,10,ALMACENABLE,255
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2016,7,Compra menor,10,ALMACENABLE,2000
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2019,7,Compra menor,18,TRANSITO,10
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2019,7,Compra menor,18,ALMACENABLE,70
APOSITO DE HIDROFIBRA  / CINTA-18,2019,7,Compra menor,18,TRANSITO,50
APOSITO DE HIDROFIBRA  / CINTA-18,2019,7,Compra menor,4,TRANSITO,20
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2019,7,Compra menor,0,ALMACENABLE,80
APOSITO MALLADO C/ PARAFINA-39,2019,7,Concurso,18,ALMACENABLE,200
APOSITO DE HIDROFIBRA  / CINTA-18,2020,7,Compra menor,11,TRANSITO,10
APÓSITO TRANSPARENTE ADHESIVO-20,2020,7,Compra menor,4,ALMACENABLE,600
APOSITO DE HIDROCOLOIDE C/ PLATA-2,2020,7,Compra menor,11,TRANSITO,80
APOSITO C/ CARBON Y PLATA-4,2020,7,Concurso,18,ALMACENABLE,280
APOSITO DE HIDROFIBRA  / CINTA-18,2021,7,Compra menor,4,TRANSITO,10
APOSITO DE ESPUMA POLIURETANO-8,2021,7,Concurso,4,ALMACENABLE,180
APOSITO DE ESPUMA POLIURETANO-8,2021,7,Concurso,18,ALMACENABLE,110
APOSITO DE HIDROCOLOIDE-9,2021,7,Concurso,4,ALMACENABLE,135
APOSITO DE FIBRAS DE POLIACRILATO-3,2021,7,Concurso,18,ALMACENABLE,70
APOSITO MALLADO C/ PARAFINA-39,2021,7,Concurso,10,ALMACENABLE,310
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2021,7,Compra menor,12,TRANSITO,12
APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,2021,7,Compra menor,11,TRANSITO,20
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2022,7,Concurso,13,ALMACENABLE,210
APOSITO DE HIDROFIBRA  / CINTA-18,2022,7,Compra menor,12,TRANSITO,25
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2022,7,Compra menor,11,TRANSITO,15
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,2022,7,Compra menor,11,TRANSITO,5
APOSITO DE ESPUMA POLIURETANO-8,2022,7,Concurso,0,ALMACENABLE,100
APOSITO DE HIDROCOLOIDE-9,2022,7,Concurso,10,ALMACENABLE,204
APOSITO DE ALGINATO C/ PLATA-6,2022,7,Concurso,10,ALMACENABLE,100
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2022,7,Concurso,0,ALMACENABLE,100
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2022,7,Concurso,18,ALMACENABLE,100
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2022,7,Concurso,0,ALMACENABLE,150
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,7,Concurso,12,TRANSITO,30
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,7,Concurso,14,TRANSITO,20
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,7,Concurso,4,TRANSITO,20
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2016,8,Compra menor,14,TRANSITO,4
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2016,8,Compra menor,10,ALMACENABLE,40
APOSITO DE HIDROFIBRA  / CINTA-18,2016,8,Compra menor,4,TRANSITO,5
APÓSITO ABSORBENTE C/ ADHESIVO-22,2016,8,Compra menor,13,ALMACENABLE,640
APÓSITO ABSORBENTE C/ ADHESIVO-23,2016,8,Compra menor,18,ALMACENABLE,1200
APOSITO C/ CARBON Y PLATA-6,2016,8,Concurso,13,ALMACENABLE,600
APOSITO DE ESPUMA POLIURETANO-8,2016,8,Concurso,10,ALMACENABLE,160
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2016,8,Concurso,10,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2016,8,Compra menor,13,ALMACENABLE,600
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2017,8,Compra menor,14,TRANSITO,4
APÓSITO TRANSPARENTE ADHESIVO-24,2017,8,Compra menor,18,ALMACENABLE,2800
APOSITO MALLADO C/ PARAFINA-38,2017,8,Concurso,13,ALMACENABLE,1300
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2017,8,Compra menor,10,ALMACENABLE,200
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2017,8,Compra menor,10,ALMACENABLE,50
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2018,8,Compra menor,11,TRANSITO,10
APOSITO DE HIDROCOLOIDE C/ PLATA-2,2018,8,Compra menor,0,TRANSITO,50
APOSITO DE HIDROCOLOIDE-9,2018,8,Compra menor,0,ALMACENABLE,1002
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2018,8,Compra menor,0,ALMACENABLE,60
APOSITO DE HIDROCOLOIDE-3,2019,8,Concurso,18,ALMACENABLE,35
APÓSITO ABSORBENTE C/ ADHESIVO-23,2019,8,Concurso,18,ALMACENABLE,960
APOSITO MALLADO C/ PARAFINA-38,2019,8,Concurso,13,ALMACENABLE,1200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,8,Compra menor,13,ALMACENABLE,500
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,8,Compra menor,10,ALMACENABLE,140
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2022,8,Compra menor,7,TRANSITO,60
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2022,8,Concurso,10,ALMACENABLE,690
APOSITO DE HIDROFIBRA  / CINTA-18,2022,8,Compra menor,14,TRANSITO,5
APOSITO DE HIDROCOLOIDE-7,2022,8,Concurso,10,ALMACENABLE,60
EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,2022,8,Compra menor,11,TRANSITO,5
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2022,8,Concurso,10,ALMACENABLE,340
APÓSITO TRANSPARENTE ADHESIVO-20,2022,8,Concurso,18,ALMACENABLE,600
APÓSITO TRANSPARENTE ADHESIVO-24,2022,8,Concurso,10,ALMACENABLE,1600
APÓSITO TRANSPARENTE ADHESIVO-24,2022,8,Concurso,18,ALMACENABLE,1600
APÓSITO ABSORBENTE C/ ADHESIVO-22,2022,8,Concurso,10,ALMACENABLE,600
APÓSITO ABSORBENTE C/ ADHESIVO-22,2022,8,Concurso,10,ALMACENABLE,600
APOSITO MALLADO C/ SILICONA-0,2022,8,Concurso,7,ALMACENABLE,700
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2022,8,Compra menor,10,ALMACENABLE,100
APOSITO DE HIDROCOLOIDE-9,2022,8,Concurso,10,ALMACENABLE,240
APOSITO DE HIDROCOLOIDE-9,2022,8,Concurso,13,ALMACENABLE,501
APOSITO DE HIDROCOLOIDE-9,2022,8,Concurso,4,ALMACENABLE,135
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2022,8,Compra menor,18,ALMACENABLE,5000
APOSITO DE ALGINATO C/ PLATA-6,2022,8,Concurso,13,ALMACENABLE,200
APOSITO DE HIDROCOLOIDE-6,2022,8,Concurso,13,ALMACENABLE,200
APOSITO DE FIBRAS DE POLIACRILATO-3,2022,8,Concurso,7,ALMACENABLE,200
APOSITO DE FIBRAS DE POLIACRILATO-3,2022,8,Concurso,13,ALMACENABLE,140
APOSITO MALLADO C/ PARAFINA-39,2022,8,Concurso,10,ALMACENABLE,390
APOSITO MALLADO C/ PARAFINA-39,2022,8,Concurso,7,ALMACENABLE,1000
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2022,8,Concurso,13,ALMACENABLE,1000
APOSITO DE HIDROCOLOIDE-7,2022,8,Concurso,13,ALMACENABLE,150
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2022,8,Concurso,10,ALMACENABLE,20
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,8,Concurso,7,ALMACENABLE,100
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,8,Concurso,13,ALMACENABLE,300
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,8,Concurso,14,TRANSITO,10
APOSITO DE HIDROCOLOIDE-3,2015,10,Compra menor,10,ALMACENABLE,170
APÓSITO TRANSPARENTE ADHESIVO-24,2015,10,Compra menor,10,ALMACENABLE,1600
APÓSITO TRANSPARENTE ADHESIVO-24,2015,10,Compra menor,18,ALMACENABLE,3200
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2015,10,Concurso,0,ALMACENABLE,200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2015,10,Compra menor,0,ALMACENABLE,200
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2018,10,Compra menor,18,TRANSITO,5
